,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU,Valor m2,Tipo Agregado
550,Apartamento,Barra da Tijuca,4,3,2,310,9500.0,2200.0,1750.0,30.65,Apartamento
551,Apartamento,Ipanema,2,1,0,45,3000.0,500.0,30.0,66.67,Apartamento
552,Apartamento,Flamengo,2,1,0,70,2600.0,900.0,120.0,37.14,Apartamento
553,Apartamento,Recreio dos Bandeirantes,3,2,1,80,2000.0,750.0,370.0,25.0,Apartamento
554,Apartamento,Recreio dos Bandeirantes,2,1,1,72,1500.0,650.0,131.0,20.83,Apartamento
555,Apartamento,Ipanema,3,1,1,127,7000.0,1000.0,0.0,55.12,Apartamento
556,Apartamento,Copacabana,3,1,1,100,8000.0,1050.0,340.0,80.0,Apartamento
557,Apartamento,Ipanema,3,2,1,157,9000.0,2900.0,620.0,57.32,Apartamento
558,Apartamento,Vila Isabel,1,1,1,50,1050.0,450.0,0.0,21.0,Apartamento
559,Apartamento,Leblon,3,1,1,123,8000.0,1800.0,419.0,65.04,Apartamento
560,Apartamento,Barra da Tijuca,2,1,1,90,3000.0,1860.0,450.0,33.33,Apartamento
561,Apartamento,Recreio dos Bandeirantes,3,2,3,180,1700.0,1080.0,390.0,9.44,Apartamento
562,Apartamento,Copacabana,2,2,1,98,4200.0,760.0,250.0,42.86,Apartamento
563,Apartamento,Recreio dos Bandeirantes,2,2,1,83,1900.0,768.0,0.0,22.89,Apartamento
564,Apartamento,Tijuca,2,1,1,80,1500.0,500.0,30.0,18.75,Apartamento
565,Apartamento,Copacabana,2,0,1,122,4400.0,585.0,0.0,36.07,Apartamento
566,Apartamento,Barra da Tijuca,1,1,0,80,5000.0,1100.0,200.0,62.5,Apartamento
567,Apartamento,Leme,1,0,1,90,3500.0,550.0,0.0,38.89,Apartamento
568,Apartamento,Lagoa,4,3,1,210,7200.0,2700.0,0.0,34.29,Apartamento
569,Apartamento,Tijuca,3,1,2,100,2500.0,1300.0,283.0,25.0,Apartamento
570,Apartamento,Tijuca,1,0,0,34,1400.0,251.0,24.0,41.18,Apartamento
571,Apartamento,Recreio dos Bandeirantes,4,2,1,200,2950.0,1000.0,350.0,14.75,Apartamento
572,Apartamento,Ipanema,3,0,0,85,3450.0,654.0,143.0,40.59,Apartamento
573,Apartamento,Ipanema,3,1,1,120,6500.0,1500.0,450.0,54.17,Apartamento
574,Apartamento,Laranjeiras,1,1,0,57,1800.0,694.0,94.0,31.58,Apartamento
575,Apartamento,Leblon,2,0,0,63,2200.0,900.0,175.0,34.92,Apartamento
576,Apartamento,Engenho de Dentro,2,1,0,66,1000.0,410.0,0.0,15.15,Apartamento
577,Apartamento,Fátima,1,0,0,50,1100.0,558.0,20.0,22.0,Apartamento
578,Apartamento,Recreio dos Bandeirantes,3,2,1,120,2700.0,790.0,200.0,22.5,Apartamento
579,Apartamento,Ipanema,2,1,0,78,3600.0,644.0,128.0,46.15,Apartamento
580,Apartamento,Taquara,2,1,0,70,1000.0,500.0,0.0,14.29,Apartamento
581,Apartamento,Higienópolis,1,0,0,55,750.0,120.0,0.0,13.64,Apartamento
582,Apartamento,Botafogo,2,1,2,84,4230.0,1140.0,202.0,50.36,Apartamento
583,Apartamento,Ipanema,2,1,0,100,4000.0,800.0,86.0,40.0,Apartamento
584,Apartamento,Barra da Tijuca,4,2,1,127,4000.0,1615.0,3335.0,31.5,Apartamento
585,Apartamento,Pechincha,2,1,1,50,950.0,550.0,17.0,19.0,Apartamento
586,Apartamento,Inhoaíba,2,1,0,60,650.0,255.0,0.0,10.83,Apartamento
587,Apartamento,Tijuca,2,1,1,97,2500.0,660.0,0.0,25.77,Apartamento
588,Apartamento,Lagoa,3,3,1,220,6000.0,1700.0,600.0,27.27,Apartamento
589,Apartamento,Botafogo,1,0,0,35,1000.0,293.0,86.0,28.57,Apartamento
590,Apartamento,Santa Teresa,1,1,0,49,1150.0,570.0,28.0,23.47,Apartamento
591,Apartamento,Barra da Tijuca,3,2,1,129,3800.0,1900.0,0.0,29.46,Apartamento
592,Apartamento,Méier,3,1,0,100,1000.0,600.0,100.0,10.0,Apartamento
593,Apartamento,Barra da Tijuca,3,2,1,110,2000.0,1768.0,277.0,18.18,Apartamento
594,Apartamento,Barra da Tijuca,3,1,2,190,5500.0,2850.0,660.0,28.95,Apartamento
595,Apartamento,Copacabana,1,0,0,40,1400.0,539.0,0.0,35.0,Apartamento
596,Apartamento,Barra da Tijuca,3,2,1,300,4000.0,3800.0,8000.0,13.33,Apartamento
597,Apartamento,Rocha,2,1,0,68,1000.0,1000.0,0.0,14.71,Apartamento
598,Apartamento,Leblon,3,1,0,98,4000.0,1240.0,164.0,40.82,Apartamento
599,Apartamento,Tijuca,3,0,0,80,1600.0,350.0,0.0,20.0,Apartamento
600,Apartamento,Barra da Tijuca,3,1,2,100,3500.0,1300.0,276.0,35.0,Apartamento
601,Apartamento,Barra da Tijuca,3,2,3,155,5900.0,1850.0,332.0,38.06,Apartamento
602,Apartamento,Ipanema,3,2,1,80,5700.0,1323.0,365.0,71.25,Apartamento
603,Apartamento,Freguesia (Jacarepaguá),2,1,0,59,700.0,475.0,0.0,11.86,Apartamento
604,Apartamento,Leblon,3,1,1,124,8000.0,2055.0,462.0,64.52,Apartamento
605,Apartamento,Vila Isabel,2,1,1,70,1500.0,695.0,71.0,21.43,Apartamento
